Запрос,Уточнение запроса,Тип,Вопрос,Ответ
Подключение,Домашний телефон,Телефон,Как настроить Gigaset IP,https://moscow.rt.ru/sites/default/files/doc/support/inst%20-%20Gigaset_IP.pdf
Подключение,Домашний телефон,Телефон,Как настроить Windows для X-Lite,https://moscow.rt.ru/sites/default/files/doc/support/Softphone%20Windows.pdf
Подключение,Домашний телефон,Телефон,Как настроить MacOS для Telephone,https://moscow.rt.ru/sites/default/files/doc/support/Softphone%20MacOS.pdf
Подключение,Домашний телефон,Телефон,Как настроить iOS для Media 5,https://moscow.rt.ru/sites/default/files/doc/support/SoftphoneiOS.pdf
Подключение,Домашний телефон,Телефон,Как настроить встроенный SIP телефон в Android устройстве,https://moscow.rt.ru/sites/default/files/doc/support/Android%20native%20sip.pdf
Подключение,Домашний телефон,Телефон,Как настроить Android устройство для Sipdroid,https://moscow.rt.ru/sites/default/files/doc/support/Sipdroid.pdf
Подключение,Домашний телефон,Телефон,Как настроить телефон Panasonic,https://moscow.rt.ru/sites/default/files/doc/support/Panasonic.pdf
Оплата услуг,Оплата счета,Телефон,Как оплатить счет Банковской картой,"На сайте Ростелекома (без комиссии) - https://moscow.rt.ru/payment.
В Личном кабинете на сайте (без комиссии) - https://www.onlime.ru/.
Интернет банки(При оплате обращайте внимание на размер комиссии):     
Почта банк - https://my.pochtabank.ru/login?next=%2F,
Сбербанк ОнЛ@йн - https://www.sberbank.ru/ru/person/dist_services, 
Промсвязь банк - https://www.psbank.ru/, 
Московский кредитный банк - https://mkb.ru/about/address/branch, 
МТС-Банк (Интернет банк) - https://www.mtsbank.ru/private/inbanking/, 
Система WM Keeper Mobile - http://www.webmoney.ru/, 
Ситибанк - https://www.citibank.ru/russia/branches/rus/branches.htm, 
Райффайзен банк - https://online.raiffeisen.ru/, 
Единый кошелек - https://www.walletone.com/ru/merchant/, 
Русский Стандарт (система Интернет-банкинг и банкоматы) - https://www.rsb.ru/about/atms/moscow/, 
Интернет-банк «Альфа-Клик» - https://alfabank.ru/everyday/online/alfaclick/"
Оплата услуг,Оплата счета,Телефон,Как оплатить счет Электронными кошельками,"При оплате обращайте внимание на размер комиссии: 
Сбербанк. Мобильные приложения. -  https://www.sberbank.ru/ru/person/dist_services, 
Яндекс.Деньги - https://money.yandex.ru/oplata/onlaiem-internet, 
Кошелек Элекснет - https://1.elecsnet.ru/NotebookFront/services/0mhp/default.aspx?merchantId=23267,     
WebMoney - https://telepay.wmtransfer.com/ru/operator/327, 
RuRu.ru - https://www.ruru.ru/init-payment/39, 
РБК.Money - https://rbk.money/, 
IntellectMoney - https://www.intellectmoney.ru/ru/, 
Веб-кошелёк (ПСКБ) - https://webpay.pscb.ru/login/auth, 
Единый кошелек - https://www.walletone.com/ru/merchant/"
Оплата услуг,Оплата счета,Телефон,Как оплатить счет в терминале,"При оплате обращайте внимание на размер комиссии: 
Терминалы моментальной оплаты Сбербанка России - https://www.sberbank.ru/ru/person, 
«Открытие» ПАО - https://www.open.ru/, 
«Примсоцбанк» ПАО - https://www.pskb.com/, 
«БТА Банк» АО - http://bta.kz/"
Оплата услуг,Оплата счета,Телефон,Как оплатить счет другими способами,"При оплате обращайте внимание на размер комиссии: 
Почта банк - https://www.pochtabank.ru/map, 
Московский Кредитный Банк - https://mkb.ru/about/address/branch, 
Comepay - https://comepay.ru/business#terminals, 
М.Видео - https://www.mvideo.ru/shops/, 
Альт Телеком - http://alttelecom.ru/salones/172?type=1, 
МТС - https://moskva.mts.ru/business/podderzhka/saloni-magazini-mts/, 
Связной - https://www.svyaznoy.ru/shops, 
«Промсвязьбанк» - https://www.psbank.ru/?utm_source=svyazbank2, 
МТС-Банк - https://www.mtsbank.ru/o-banke/ofisi-i-bankomati/, 
Банк Северный морской путь - https://smpbank.ru/ru/contact/"
Оплата услуг,нет,Телефон,Как перенести платеж между лицевыми счетами,"Для переноса денежных средств подготовьте и пришлите нам сканы документов:
 Заполненное заявление на перенос (шаблон заявления - https://moscow.rt.ru/sites/default/files/doc/Zayavlenie_na_perenos_denezhnyh_sredstv_u.pdf);
2, 3, 5 страниц нового паспорта: кому и кем выдан, адрес регистрации; 
Сканы документов должны быть надлежащего качества с четким изображением информации.​​ 
Напишите нам в чате или в разделе ""Обратная связь"" в Личном кабинете или в приложении «Мой Ростелеком», прикрепив сканы или фото документов."
Дополнительная информация,Договоры и соглашения,Телефон,Где посмотреть правовые документы,https://moscow.rt.ru/support/documents#phone
Диагностика и настройка оборудования/подключения,Итерактивное ТВ,Телевидение,Где посмотреть Справочник пользователя Интерактивного ТВ,https://moscow.rt.ru/sites/default/files/doc/Spravochnik_Polzovatelya_Interactive_TV.pdf
